卫视频道,#genre#
内蒙古卫视,http://115.171.216.32:4000/rtp/225.1.8.156:8176
青海卫视,http://115.171.216.32:4000/rtp/225.1.8.157:8184
海南卫视,http://115.171.216.32:4000/rtp/225.1.8.158:8304
宁夏卫视,http://115.171.216.32:4000/rtp/225.1.8.159:8124
西藏卫视,http://115.171.216.32:4000/rtp/225.1.8.160:8164
新疆卫视,http://115.171.216.32:4000/rtp/225.1.8.161:8160
甘肃卫视,http://115.171.216.32:4000/rtp/225.1.8.162:8188
厦门卫视,http://115.171.216.32:4000/rtp/225.1.8.166:4120
兵团卫视,http://115.171.216.32:4000/rtp/225.1.8.167:4120
山东教育卫视,http://115.171.216.32:4000/rtp/225.1.8.190:4120
三沙卫视,http://115.171.216.32:4000/rtp/225.1.8.78:4120
北京卫视,http://115.171.216.40:4000/rtp/225.1.8.21:8002
北京卫视4K超高清,http://115.171.216.40:4000/udp/225.1.8.120:8002
北京卫视4K超高清,http://115.171.216.40:4000/rtp/225.1.8.128:8002
湖南卫视,http://115.171.216.40:4000/udp/225.1.8.41:8012
深圳卫视,http://115.171.216.40:4000/udp/225.1.8.43:8020
江苏卫视,http://115.171.216.40:4000/udp/225.1.8.44:8028
东方卫视,http://115.171.216.40:4000/udp/225.1.8.45:8032
浙江卫视,http://115.171.216.40:4000/udp/225.1.8.46:8036
湖北卫视,http://115.171.216.40:4000/udp/225.1.8.47:8044
天津卫视,http://115.171.216.40:4000/udp/225.1.8.48:8044
广东卫视,http://115.171.216.40:4000/udp/225.1.8.49:8048
山东卫视,http://115.171.216.40:4000/udp/225.1.8.50:8052
辽宁卫视,http://115.171.216.40:4000/udp/225.1.8.51:8056
安徽卫视,http://115.171.216.40:4000/udp/225.1.8.52:8064
河北卫视,http://115.171.216.40:4000/udp/225.1.8.76:8002
贵州卫视,http://115.171.216.40:4000/udp/225.1.8.77:8076
东南卫视,http://115.171.216.40:4000/udp/225.1.8.79:8148
江西卫视,http://115.171.216.40:4000/udp/225.1.8.171:8166
重庆卫视,http://115.171.216.40:4000/udp/225.1.8.172:8162
江西卫视,http://115.171.216.40:4000/rtp/225.1.1.9:8164
黑龙江卫视,http://115.171.216.40:4000/udp/225.1.8.42:8016
云南卫视,http://115.171.216.40:4000/rtp/225.1.8.139:8108
河南卫视,http://115.171.216.40:4000/rtp/225.1.8.140:8128
四川卫视,http://115.171.216.40:4000/rtp/225.1.8.142:8288
广西卫视,http://115.171.216.40:4000/rtp/225.1.8.152:8300
吉林卫视,http://115.171.216.40:4000/rtp/225.1.8.153:8200
陕西卫视,http://115.171.216.40:4000/rtp/225.1.8.154:8140
山西卫视,http://115.171.216.40:4000/rtp/225.1.8.155:8172
内蒙古卫视,http://115.171.216.40:4000/rtp/225.1.8.156:8176
青海卫视,http://115.171.216.40:4000/rtp/225.1.8.157:8184
海南卫视,http://115.171.216.40:4000/rtp/225.1.8.158:8304
宁夏卫视,http://115.171.216.40:4000/rtp/225.1.8.159:8124
西藏卫视,http://115.171.216.40:4000/rtp/225.1.8.160:8164
新疆卫视,http://115.171.216.40:4000/rtp/225.1.8.161:8160
甘肃卫视,http://115.171.216.40:4000/rtp/225.1.8.162:8188
厦门卫视,http://115.171.216.40:4000/rtp/225.1.8.166:4120
兵团卫视,http://115.171.216.40:4000/rtp/225.1.8.167:4120
山东教育卫视,http://115.171.216.40:4000/rtp/225.1.8.190:4120
三沙卫视,http://115.171.216.40:4000/rtp/225.1.8.78:4120
广东卫视,http://183.236.43.98:4013/udp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146
